content.update_time,#genre#
新蔡综合,http://192.168.1.95:8080/hls/-1840452868986381906.m3u8
新蔡综合,http://192.168.1.95:8080/hls/3715351744171773223.m3u8
荥阳综合,http://192.168.1.95:8080/hls/3299192009763574116.m3u8
荥阳综合,http://192.168.1.95:8080/hls/306698698987517469.m3u8
荥阳综合,http://192.168.1.95:8080/hls/-7562250087094403174.m3u8
郏县综合,http://192.168.1.95:8080/hls/-7965495860674557235.m3u8
郏县综合,http://192.168.1.95:8080/hls/1361005945217678466.m3u8
郏县综合,http://192.168.1.95:8080/hls/7698585629861209193.m3u8
永城综合,http://192.168.1.95:8080/hls/-6759990614250217589.m3u8
新县综合,http://192.168.1.95:8080/hls/-1136933869312710792.m3u8
新县综合,http://192.168.1.95:8080/hls/9045142593564545514.m3u8
光山综合,http://192.168.1.95:8080/hls/-4603713296661278566.m3u8
光山综合,http://192.168.1.95:8080/hls/48485296775016093.m3u8

河北,#genre#
邢台综合,http://192.168.1.95:8080/hls/-6645075245914135295.m3u8
邢台综合,http://192.168.1.95:8080/hls/4738868117308790119.m3u8
邯郸科技教育,http://192.168.1.95:8080/hls/2128335118190763309.m3u8
邯郸公共,http://192.168.1.95:8080/hls/-1179820361826429592.m3u8
丰宁综合,http://192.168.1.95:8080/hls/-7408812843378978697.m3u8
平泉综合,http://192.168.1.95:8080/hls/-5873484414874256363.m3u8
兴隆综合,http://192.168.1.95:8080/hls/3875771844310690036.m3u8
昌黎综合,http://192.168.1.95:8080/hls/7397240544666734566.m3u8
任丘综合,http://192.168.1.95:8080/hls/-4828959063679721717.m3u8

甘肃,#genre#

新疆,#genre#

山东,#genre#
山东生活,http://192.168.1.95:8080/hls/-6613912197073569124.m3u8
山东教育,http://192.168.1.95:8080/hls/-4618851169933843155.m3u8
山东教育,http://192.168.1.95:8080/hls/1864320086825518248.m3u8
山东教育,http://192.168.1.95:8080/hls/-6083304973533758144.m3u8
山东教育,http://192.168.1.95:8080/hls/8958322451320316574.m3u8
山东教育,http://192.168.1.95:8080/hls/2994570388164675974.m3u8

山西,#genre#
古县综合,http://192.168.1.95:8080/hls/5893659404153792677.m3u8
定襄综合,http://192.168.1.95:8080/hls/1332835646949307507.m3u8
汾西综合,http://192.168.1.95:8080/hls/5942486172062352262.m3u8

安徽,#genre#
安徽影视,http://192.168.1.95:8080/hls/4029826473673977651.m3u8
安徽国际,http://192.168.1.95:8080/hls/-9023793672972659592.m3u8
黄山新闻综合,http://192.168.1.95:8080/hls/3682904746454086303.m3u8
黄山新闻综合,http://192.168.1.95:8080/hls/7352254001263498194.m3u8
铜陵新闻综合,http://192.168.1.95:8080/hls/6272576101223293223.m3u8
亳州农村,http://192.168.1.95:8080/hls/3720678873986869095.m3u8
亳州农村,http://192.168.1.95:8080/hls/-5147669780629893834.m3u8
祁门综合,http://192.168.1.95:8080/hls/-1080804967402917558.m3u8

宁夏,#genre#
宁夏经济,http://192.168.1.95:8080/hls/-8547974981727431148.m3u8

吉林,#genre#
延边卫视,http://192.168.1.95:8080/hls/-5796612624396420067.m3u8

云南,#genre#

青海,#genre#
西宁新闻综合,http://192.168.1.95:8080/hls/-7229434895209345544.m3u8
西宁新闻综合,http://192.168.1.95:8080/hls/-6405409557249737288.m3u8
西宁新闻综合,http://192.168.1.95:8080/hls/-7518697484981054030.m3u8
西宁新闻综合,http://192.168.1.95:8080/hls/-3574173641912364776.m3u8

黑龙江,#genre#
黑龙江文体,http://192.168.1.95:8080/hls/5521350924762261650.m3u8
黑龙江都市,http://192.168.1.95:8080/hls/-6267222147088361636.m3u8
黑龙江新闻法治,http://192.168.1.95:8080/hls/-4997427790222741540.m3u8
黑龙江少儿,http://192.168.1.95:8080/hls/-1425570034389927737.m3u8

香港,#genre#
天映经典,http://192.168.1.95:8080/hls/1302951126905277148.m3u8

台湾,#genre#
东森洋片,http://192.168.1.95:8080/hls/-1858755001172707600.m3u8

其他,#genre#
